run_key,model_name,feature_set,feature_family,is_negative_control,feature_set_description,fold_id,seed,n_features,generalization_ratio,retention_ratio,selected_artifact_type,selection_rule,checkpoint_selection_rule,train_sharpe,train_return_pct,train_max_drawdown,train_turnover,validation_sharpe,validation_return_pct,validation_max_drawdown,validation_turnover,test_sharpe,test_return_pct,test_max_drawdown,test_turnover,robust_selection_score,selected_artifact_score
base_macro_rates_credit_vol_risk_state_context__fold_01__seed42,custom_custom,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Baseline technical and macro features plus lag-clean rates, credit, vol proxy, and narrow risk-state interaction gates.",fold_01,42,54,2.643181702033339,0.65122056616024,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.87370666842646,102.90483670396178,-0.18560845444474305,0.6106870229007634,2.3093654789293288,8.415311384448643,-0.042167652749188655,13.661290322580646,1.5039062946592714,6.2078932957440935,-0.06486649786384957,13.78688524590164,2.0447172095610417,2.0447172095610417
base_macro_rates_credit_vol_risk_state_context__fold_01__seed123,custom_custom,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Baseline technical and macro features plus lag-clean rates, credit, vol proxy, and narrow risk-state interaction gates.",fold_01,123,54,3.9355596944600397,0.7007471179987216,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.5399491407214039,50.604043974832,-0.16575567879456976,0.7182512144344205,2.1250020752814893,8.141136496406155,-0.03817788595556315,14.82258064516129,1.489089079994806,6.311440362347787,-0.06957157193930064,15.114754098360656,2.2027326203928523,2.2027326203928523
base_macro_rates_credit_vol_risk_state_context__fold_01__seed999,custom_custom,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Baseline technical and macro features plus lag-clean rates, credit, vol proxy, and narrow risk-state interaction gates.",fold_01,999,54,2.528072952656814,0.9327102060779325,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.0393432831449074,128.15554224320803,-0.1561333114479373,0.7647467036780013,2.6275356426441734,8.4312975110157,-0.029581362973404968,12.774193548387096,2.45072931072776,9.074949333174477,-0.0501122563752201,13.073770491803279,2.31482603653262,2.31482603653262
base_macro_rates_credit_vol_risk_state_context__fold_02__seed42,custom_custom,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Baseline technical and macro features plus lag-clean rates, credit, vol proxy, and narrow risk-state interaction gates.",fold_02,42,54,0.8637802789394882,-1.2297605579312565,best_model,checkpoint_robust_score,checkpoint_robust_score,1.0701840311123103,157.4071211900665,-0.1693880560778892,0.3514376996805112,0.9244038609107773,2.4575118618509695,-0.037179321982488744,8.59375,-1.1367954077474451,-2.575316172961384,-0.04045884386956211,8.73015873015873,0.7422984667708128,0.7422984667708128
base_macro_rates_credit_vol_risk_state_context__fold_02__seed123,custom_custom,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Baseline technical and macro features plus lag-clean rates, credit, vol proxy, and narrow risk-state interaction gates.",fold_02,123,54,0.7386554024683109,0.43212146461924006,best_model,checkpoint_robust_score,checkpoint_robust_score,0.6863928248403673,86.58319547800373,-0.18226792353056498,0.46325878594249204,0.5070077682838223,1.4874140506300648,-0.04982349920520024,10.9375,0.2190889394041376,0.3975900221988571,-0.026714057575311534,10.777777777777779,0.15089503943242033,0.15089503943242033
base_macro_rates_credit_vol_risk_state_context__fold_02__seed999,custom_custom,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Baseline technical and macro features plus lag-clean rates, credit, vol proxy, and narrow risk-state interaction gates.",fold_02,999,54,0.8305852787201443,-0.6117157465787105,best_model,checkpoint_robust_score,checkpoint_robust_score,1.0215607907686057,37.22132670173035,-0.06898338186088704,0.0,0.8484933541301134,0.06301474841718946,-0.0010908998515998247,0.0,-0.5190367455887765,-0.035636088295609714,-0.0010951050219489833,0.0,1.0785155088735316,1.0785155088735316
base_macro_rates_credit_vol_risk_state_context__fold_03__seed42,custom_custom,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Baseline technical and macro features plus lag-clean rates, credit, vol proxy, and narrow risk-state interaction gates.",fold_03,42,54,6.444970411687615,0.3177536420096912,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.7787920023415934,115.01983688842547,-0.23654264520305757,0.6609568812758417,5.019291411950522,12.454281368291342,-0.02156628262930771,12.266129032258064,1.5948981264552435,3.0634103065832585,-0.040087215951757904,12.795081967213115,5.175393182802227,5.175393182802227
base_macro_rates_credit_vol_risk_state_context__fold_03__seed123,custom_custom,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Baseline technical and macro features plus lag-clean rates, credit, vol proxy, and narrow risk-state interaction gates.",fold_03,123,54,4.889995529609558,0.6589625569168311,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.8160727537764855,115.15544250929905,-0.15758530440315066,0.6202008269344359,3.9905921178031756,8.990609176216546,-0.030907412882637098,16.93548387096774,2.6296507855597326,4.796008717530675,-0.035883055394705154,17.21311475409836,3.741143840920528,3.741143840920528
base_macro_rates_credit_vol_risk_state_context__fold_03__seed999,custom_custom,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Baseline technical and macro features plus lag-clean rates, credit, vol proxy, and narrow risk-state interaction gates.",fold_03,999,54,7.9068788432601425,0.10537799467578647,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.647117238214807,33.05377754193452,-0.09773586769618703,0.0,5.1166775999495915,0.30095700393828473,-0.0005188372070056291,0.0,0.5391852248852039,0.03025978360711168,-0.0015634452963739776,0.0,6.319687184762766,6.319687184762766
base_macro_rates_credit_vol_risk_state_context__fold_04__seed42,custom_custom,base_macro_rates_credit_vol_risk_state_context,rates_credit_vol_risk_state_context,False,"Baseline technical and macro features plus lag-clean rates, credit, vol proxy, and narrow risk-state interaction gates.",fold_04,42,54,4.495520017323847,0.9679312695853687,best_model,checkpoint_robust_score,checkpoint_robust_score,1.0434350972704347,162.47790773487984,-0.14953499779894597,0.4127682993946065,4.690783366557495,7.3269336035378,-0.01159459586453071,11.904761904761905,4.540355899341926,7.800593514690779,-0.01908630464318939,11.904761904761905,4.391245923545823,4.391245923545823
