run_key,model_name,feature_set,feature_family,is_negative_control,feature_set_description,fold_id,seed,n_features,generalization_ratio,retention_ratio,selected_artifact_type,selection_rule,checkpoint_selection_rule,train_sharpe,train_return_pct,train_max_drawdown,train_turnover,validation_sharpe,validation_return_pct,validation_max_drawdown,validation_turnover,test_sharpe,test_return_pct,test_max_drawdown,test_turnover,robust_selection_score,selected_artifact_score
base__fold_01__seed42,custom_custom,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_01,42,9,3.0521428450929844,0.5234549114944643,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.8042052419300443,87.74803371580524,-0.1518342986215964,0.6453851492019431,2.4545492751430573,9.240472432153137,-0.0386396753910412,13.03225806451613,1.2848458735788106,5.1164358552156175,-0.0818367068957827,13.098360655737704,2.2897019885361365,2.2897019885361365
base__fold_01__seed123,custom_custom,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_01,123,9,2.302029436407099,1.0957031647980362,best_model,checkpoint_robust_score,checkpoint_robust_score,0.8488260102213642,104.17320277569765,-0.1735531398783121,0.4510756419153365,1.9540224619175732,7.013443754450188,-0.0431598728622921,10.483870967741936,2.1410285956095354,9.45845156898346,-0.063539205304399,10.655737704918034,1.8444044708930587,1.8444044708930587
base__fold_01__seed999,custom_custom,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_01,999,9,2.1411334685810792,0.9970279961797256,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.0034933812973248,119.91908268406463,-0.1557862415104148,0.5551700208188758,2.1486132641952964,7.918104251944746,-0.0381133761725402,12.903225806451612,2.142227577365816,8.191041631993045,-0.048194871759243,13.114754098360656,1.8482453912445496,1.8482453912445496
base__fold_02__seed42,custom_custom,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_02,42,9,1.175299766626629,-0.8090519630290903,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.0674184193721274,169.18090292594647,-0.1827922882324156,0.4543130990415335,1.2545366191810263,3.409698993580479,-0.0394030366721344,7.8125,-1.0149853144402878,-2.303128655782693,-0.0461613027959908,7.936507936507937,1.2058348639000185,1.2058348639000185
base__fold_02__seed123,custom_custom,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_02,123,9,0.6625839362475001,-1.0091452771162774,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.0740442746138164,158.48149678642122,-0.1627760672395107,0.7041533546325879,0.7116444831777134,1.8616614529625155,-0.0392949542371154,13.578125,-0.7181526691846436,-1.7211117453540423,-0.0487594864731779,13.634920634920634,0.1338731884379909,0.1338731884379909
base__fold_02__seed999,custom_custom,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_02,999,9,0.8023329940146412,-0.0347234654512307,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.976583814573886,140.21141966527782,-0.184880698840179,3.198083067092652,0.7835454158533052,2.0323039036294954,-0.0361094176665292,28.921875,-0.0272074121768524,-0.1546095378566314,-0.0400691807596002,29.23809523809524,-0.4529061675604268,-0.4529061675604268
base__fold_03__seed42,custom_custom,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_03,42,9,6.403433147478502,0.3961793172779653,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.7462213860821061,107.71075648263668,-0.2196714413981711,0.2658003544004725,4.778378758995511,11.27853798478966,-0.0228171104489397,7.258064516129032,1.8930948344343728,3.7492728590675872,-0.0375990511754791,7.377049180327869,5.243140343241949,5.243140343241949
base__fold_03__seed123,custom_custom,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_03,123,9,6.102443776092617,0.3435080645995031,checkpoint,checkpoint_robust_score,checkpoint_robust_score,0.860556764768193,139.79400656899458,-0.1897214099849528,0.6101594802126403,5.2514992731340575,16.025328573159815,-0.0253425348753807,12.580645161290322,1.8039323515599777,3.7423435323915566,-0.0396578996510482,12.540983606557376,5.218958205286365,5.218958205286365
base__fold_03__seed999,custom_custom,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_03,999,9,5.76964069601296,0.365429655171465,best_model,checkpoint_robust_score,checkpoint_robust_score,0.8538520140327097,126.04891325189396,-0.1764595557521129,0.3248670998227997,4.926419328535751,9.397086500010476,-0.0123003249199513,8.870967741935484,1.8002597164568597,3.002633126435117,-0.0273033283541858,9.01639344262295,5.075616592475454,5.075616592475454
base__fold_04__seed42,custom_custom,base,technical_base,False,"Prices, returns, and baseline technical risk features.",fold_04,42,9,3.3704538124934094,0.5266932608560052,checkpoint,checkpoint_robust_score,checkpoint_robust_score,1.1369672951044187,188.2172117174453,-0.1389482745418111,0.3577325261419923,3.832095754465007,5.795696241288351,-0.0129954270898671,10.317460317460318,2.018339008831628,3.059658552664924,-0.0156078246128971,10.317460317460318,3.551287069479492,3.551287069479492
